code,YT_name,spot_name,Album,year_released,standard_name,SP_listens_June102026,YT_views_june102026
BB_34,"* Cosculluela, Bad Bunny - Madura (Video Oficial)",* Madura,Madura,4 April 2018,Madura,"832,434,942","580,031,791"
BB_35,BAD BUNNY - SI VEO A TU MAMÁ | YHLQMDLG (Video Oficial),Si Veo a Tu Mamá,YHLQMDLG,2 March 2020,Si Veo a Tu Mamá,"1,107,094,463","576,202,887"
BB_36,* Mora x Bad Bunny x Sech - Volando Remix (Video Oficial),* Volando - Remix,Primer Día de Clases,21 July 2021,Volando - remix,"927,968,443","565,458,542"
BB_37,BAD BUNNY - TÚ NO METES CABRA (Video Oficial),Tu No Metes Cabra,,,,"278,369,818","549,540,639"
BB_38,* Natti Natasha x Bad Bunny - Amantes De Una Noche [Official Video],* Amantes de una Noche,,,,"251,529,590","537,133,153"
BB_39,BAD BUNNY - VETE | YHLQMDLG (Video Oficial),Vete,YHLQMDLG,21 November 2019,Vete,"1,179,928,047","517,883,751"
BB_40,* Bryant Myers - Un Ratito Mas ft. Bad Bunny (Video Oficial),* Un Ratito Mas,,,,"287,019,166","499,321,251"
BB_41,* Enrique Iglesias - EL BAÑO ft. Bad Bunny,* EL BAÑO,,,,"357,568,047","488,773,991"
BB_42,"Bad Bunny ft. Bomba Estéreo - Ojitos Lindos (Video Oficial) | Un Verano Sin 
Ti",,,,,look,"476,494,574"
BB_43,Bad Bunny x Gigolo & La Exce - Sexto Sentido (Video Oficial),* Sexto Sentido (feat. Bad Bunny),,,,"311,175,583","473,998,310"
BB_44,* Anuel AA ❌ Bad Bunny - HASTA QUE DIOS DIGA,* Hasta Que Dios Diga,Real Hasta La Muerte,29 May 2020,Hasta Que Dios Diga,"929,420,165","473,711,299"
BB_45,"* J Balvin, Bad Bunny - QUE PRETENDES (Official Video)",* QUE PRETENDES,Oasis,28 June 2019,Qué Pretendes,"1,140,751,556","471,577,856"
BB_46,Pa Ti - Bad Bunny x Bryant Myers (Video Oficial),Pa Ti,,,,"476,148,815","465,555,424"
BB_47,"* Anuel AA, Bad Bunny - La Última Vez",,,,,look,"464,086,976"
BB_48,"* J Balvin, Bad Bunny - LA CANCIÓN (Audio)",,,,,look,"462,690,655"
BB_49,BAD BUNNY x DADDY YANKEE - LA SANTA | YHLQMDLG [Visualizer],La Santa,YHLQMDLG,29 February 2020,La Santa,"1,246,795,947","456,376,763"
BB_50,"* Daddy Yankee ft. Bad Bunny, Natti Natasha & Becky G - Dura REMIX (Lyric 
Video)",* Dura - Remix,,,,"381,112,515","456,041,928"
BB_51,"* J Balvin, Dua Lipa, Bad Bunny, Tainy - UN DIA (ONE DAY)",* UN DIA (ONE DAY) (Feat. Tainy),single,23 July 2020,Un Día (One Day),"1,001,156,157","445,707,483"
BB_52,BAD BUNNY x JOWELL & RANDY x ÑENGO FLOW - SAFAERA | YHLQMDLG [Visualizer],Safaera,YHLQMDLG,29 February 2020,Safaera,"1,111,852,007","438,070,829"
BB_53,BAD BUNNY - OTRA NOCHE EN MIAMI | X100PRE [Visualizer],Otra Noche en Miami,X 100pre,24 December 2018,Otra Noche en Miami,"723,070,932","433,371,443"
BB_54,"Bad Bunny x Bryant Myers x Zion x De La Ghetto x Revol - Caile (Video 
Oficial)",Caile,,,,"368,283,514","425,271,150"
BB_55,BAD BUNNY - A TU MERCED | YHLQMDLG [Visualizer],A Tu Merced,YHLQMDLG,29 February 2020,A Tu Merced,"968,022,218","412,430,597"
BB_56,"* Loca (Remix) - Khea Ft. Bad Bunny, Duki, Cazzu",,,,,look,"412,280,399"
BB_57,BAD BUNNY - SOLO DE MÍ | X100PRE (Video Oficial),Solo de Mi,X 100pre,14 December 2018,Solo de mi,"561,536,881","395,985,046"
BB_58,* Nio Garcia x J Balvin x Bad Bunny - AM Remix (Video Oficial),* AM Remix,single,24 June 2021,AM remix,"636,054,933","393,897,049"
BB_59,BAD BUNNY - DIME SI TE ACUERDAS (Video Oficial),Dime Si Te Acuerdas,,,,"325,516,519","386,153,539"
BB_60,BAD BUNNY x SECH - IGNORANTES | YHLQMDLG (Video Oficial),Ignorantes,YHLQMDLG,13 February 2020,Ignorantes,"774,552,798","382,819,645"
BB_61,BAD BUNNY - CHAMBEA (Video Oficial),Chambea,,,,"324,318,655","375,025,534"
BB_62,BAD BUNNY FT. EL ALFA - LA ROMANA | X100PRE (Video Oficial),La Romana,X 100pre,24 December 2018,La Romana,"562,581,486","371,781,936"
BB_63,BAD BUNNY - BOOKER T (Video Oficial),BOOKER T,El Último Tour Del Mundo,2 January 2021,Booker T,"575,173,730","370,666,960"
BB_64,"BAD BUNNY x DADDY YANKEE x ANUEL AA x COSCULLUELA - TÚ NO METES CABRA REMIX 
(Audio Oficial)",Tu No Metes Cabra - Remix,,,,"172,596,735","370,172,180"
BB_65,BAD BUNNY - BAILE INoLVIDABLE (Video Oficial) | DeBÍ TiRAR MáS FOToS,Neverita,Un Verano Sin Ti,22 August 2022,Neverita,"1,103,780,353","360,790,666"
BB_66,Bad Bunny - Neverita (Video Oficial) | Un Verano Sin Ti,BAILE INoLVIDABLE,Debí Tirar Más Fotos,9 January 2025,Baile Inolvidable,"1,559,967,922","357,356,928"
BB_67,BAD BUNNY x J BALVIN x OZUNA x ARCANGEL - SOY PEOR REMIX (Video Oficial),Soy Peor - Remix,,,,"240,423,400","347,386,201"
BB_68,"* Trap Capos, Noriel - Amigos y Enemigos (Official Video) ft. Bad Bunny, 
Almighty",* Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,,,,"284,978,771","342,313,115"
